,transliteration,sorting,period,base,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_hk_qid,certainty-weight_MEGA,sense_MEGA_qid,POS,number,person,category,transliteration original,unicode,roman,count,is_match
0,a a,aa,oE; nE,ai,,,,,"wohl, gut, gern",0.5,,,,adjective,Sg.,1st,ADJ,a-a,𒀀 𒀀,False,0,False
1,h hi bat tin na,hibattinna,achE,Hipat,,-na;postp.gen,,,"Adjektivbildung zu dem Ortsnamen h.hi-ba-at,",1,,,,GN,,,ADJ,h.hi-bat-tin-na,𒀸 𒄭 𒁁 𒁷 𒈾,False,0,False
2,v ha ak qa man nu iš ši ya,haakqamannuis~s~iya,achE,hakamanušiya,,-š;op.loan,-ya;adj,,achämenidisch,1,,,,adjective,,,ADJ,v.ha-ak-qa-man-nu-iš-ši-ya,𒁹 𒄩 𒀝 𒋡 𒌋𒌋 𒉡 𒅖 𒅆 𒉿,False,0,False
3,am mín nu,amminnu,achE,aminu,,,,,selbig,1,,,,adjective,Sg.,1st,ADJ,am-mín-nu,𒄠 𒊩 𒉡,False,0,False
4,te man na na,demannana,achE,tema (?),,-na;postp.gen,,,abendlich,0.5,,,,adjective,,,ADJ,te-man?-na?-na,𒋼 𒌋𒌋 𒈾 𒈾,False,0,False
5,te na,dena,achE,te,,-na;postp.gen,,,"mild, süß",1,,,,noun,,,ADJ,te-na,𒋼 𒈾,False,0,False
6,lag gi ma na,laggimana,achE,laki-,,-ma;postp.loc,-na;postp.gen,,für ihre Reise,1,,,,noun,,,ADJ,lag-gi-ma-na,𒋃 𒄀 𒈠 𒈾,False,0,False
7,la gi,lagi,nE,laki-,,,,,"vorstoßend, uberquerend",1,,,,verb,,,ADJ,la-gi,𒆷 𒄀,False,0,False
8,la gi ik,lagiik,nE,laki-,,-k-;ii,,,angereist,0.5,,0.5,,verb,,,ADJ,la-gi-ik,𒆷 𒄀 𒅅,False,0,False
9,an nu kur ir na,annukurirna,nE,hanakir,,,-na;postp.gen,,aus Zinn,0.5,,,,noun,,,ADJ,[an]-nu-kur-ir-na,𒀭 𒉡 𒆳 𒅕 𒈾,False,0,False
10,ha na ak ki ir na,hanaakkiirna,nE,hanakir,,,-na;postp.gen,,aus Zinn,0.5,,,,noun,,,ADJ,ha-na-ak-[ki]-ir-na,𒄩 𒈾 𒀝 𒆠 𒅕 𒈾,False,0,False
11,an nu uk ir na,annuukirna,nE,hanakir,,,-na;postp.gen,,aus Zinn,0.5,,,,noun,,,ADJ,an-nu-uk-ir-na,𒀭 𒉡 𒊌 𒅕 𒈾,False,0,False
12,an nu uk ir ra ni,annuukirrani,nE,hanakir,,,-ni;postp.gen,,zinnern,0.5,,,,noun,,,ADJ,an-[nu-uk-ir]-ra-ni,𒀭 𒉡 𒊌 𒅕 𒊏 𒉌,False,0,False
13,ha te um me,hateumme,nE,haten,,-me;3sg.inan,,,des Ostens,1,,,,noun,,,ADJ,ha-te-um-me,𒄩 𒋼 𒌝 𒈨,False,0,False
14,ha te ya,hateya,mE,hate,,-ya;adj,,,inner,0.5,,0.5,,noun,,,ADJ,ha-te-ya,𒄩 𒋼 𒉿,False,0,False
15,šil ha na,s~ilhana,nE,šilha-,,-n-;iii,,,stark gemacht habend,1,,1.0,,verb,Sg.,1st,ADJ,šil-ha-na,𒋻 𒄩 𒈾,False,0,False
16,šil la ak,s~illaak,achE,šilha-,,-k-;ii,,,stark,1,,1.0,,verb,Sg.,1st,ADJ,šil-la-ak,𒋻 𒆷 𒀝,False,0,False
17,šil la qa,s~illaqa,achE,šilha-,,-k-;ii,,,"stark, kräftig, sehr",1,,1.0,,verb,Sg.,1st,ADJ,šil-la-qa,𒋻 𒆷 𒋡,False,0,False
18,šil ha h,s~ilhah,nE,šilha-,,-k-;ii,,,"stark, kräftig",1,,1.0,,verb,,,ADJ,šil-ha-h,𒋻 𒄩 𒀸,False,0,False
19,ši iš ni nu,s~iis~ninu,achE,šišni,,-ni;postp.gen,,,schön,1,,,,adjective,,,ADJ,ši-iš-ni-nu,𒅆 𒅖 𒉌 𒉡,False,0,False
20,ši iš qa qa,s~iis~qaqa,achE,šiška- ,,-k-;ii,,,"abgezogen, subtrahiert",1,,1.0,,verb,,,ADJ,ši-iš-qa-qa,𒅆 𒅖 𒋡 𒋡,False,0,False
21,ši iš tur ra ip,s~iis~turraip,achE,šištra,,-p;3pl.an,,,nähere Bezeichnung von Eseln,0.5,,,,noun,Pl.,3rd Anim.,ADJ,ši-iš-tur-ra-ip,𒅆 𒅖 𒌉 𒊏 𒅁,False,0,False
22,an za an ri,anzaanri,nE,Anzan,,-r;3sg.an,,,Anzaner,0.5,,0.5,,noun,,,ADJ,an?-za?-an-ri,𒀭 𒍝 𒀭 𒊑,False,0,False
23,kut tan na,guttanna,achE,kuti,,-na;postp.gen,,,"ganz, gänzlich",1,,,,adverb,,,ADJ,kut-tan-na,𒋻 𒆗 𒈾,False,0,False
24,kut tan,guttan,achE,kuti,,-n;3sg.inan,,,"ganz, gänzlich",1,,,,adverb,,,ADJ,kut-tan,𒋻 𒆗,False,0,False
25,kut tin na,guttinna,achE,kuti,,-na;postp.gen,,,"ganz, gänzlich",1,,,,adverb,,,ADJ,kut-tin-na,𒋻 𒁷 𒈾,False,0,False
26,kut ti na,guttina,achE,kuti,,-na;postp.gen,,,"ganz, gänzlich",1,,,,adverb,,,ADJ,kut-ti-na,𒋻 𒋾 𒈾,False,0,False
27,ap pu ki,appuki,mE,apuki,,-me;3sg.inan,,,ewig,0.5,eternity (Q138045),,,noun,Sg.,1st,ADJ,ap-pu-ki,𒀊 𒁍 𒆠,False,0,False
28,ap pu ki i,appukii,mE,apuki,,,,,ewig,0.5,eternity (Q138045),,,noun,,,ADJ,ap-pu-ki-i,𒀊 𒁍 𒆠 𒄿,False,0,True
29,ap pu qa,appuqa,achE,apuka,,,,,"vordem, früher",1,,1.0,,noun,Sg.,1st,ADJ,ap-pu-qa,𒀊 𒁍 𒋡,False,0,False
30,ap pu qa na,appuqana,achE,apuka,,-na;postp.gen,,,"erste, literally frühere",1,,,,noun,Sg.,1st,ADJ,ap-pu-qa-na,𒀊 𒁍 𒋡 𒈾,False,0,False
32,h hu ut pír ri nu,huutpirrinu,achE,Hutpiri,,-na;postp.gen,,,adjective of Hutpiri,1,,,,GN,,,ADJ,h.hu-ut-pír-ri-nu,𒀸 𒄷 𒌓 𒂟 𒊑 𒉡,False,0,False
33,gi ti qa,gitiqa,achE,kiti-,,-k-;ii,,,"rein, geläutert",1,,0.5,,verb,,,ADJ,gi-ti-qa,𒄀 𒋾 𒋡,False,0,False
34,GIBÍL,gibil,nE,,Sum,,,,verbrennen,1,,,,adjective,Pl.,3rd Anim.,ADJ,GIBÍL,𒋙𒀾,False,0,False
35,a ta ar im ma,ataarimma,mE,atar,,-ma;postp.loc,,,gnädiglich,0.5,,,,adverb,Sg.,1st,ADJ,a-ta-ar-im-ma,𒀀 𒋫 𒅈 𒅎 𒈠,False,0,False
37,ha al hi,haalhi,oE,halhi,,,,,schädlich,0.5,,,,adjective,,,ADJ,[ha?]-al?-hi,𒄩 𒀠 𒄭,False,0,False
38,hal ki,halki,oE; mE; nE,halki,,,,,süß,1,sweet (Q129421301),,,adjective,,,ADJ,hal-ki,𒄬 𒆠,False,0,False
40,me te ya,meteya,mE,mete,,-ya;adj,,,sieghaft,1,,0.5,,noun,,,ADJ,me-te-ya,𒈨 𒋼 𒉿,False,0,False
41,me ul li,meulli,achE,melu,,,,,lange,1,,,,adjective,,,ADJ,me-ul-li,𒈨 𒌌 𒇷,False,0,False
42,me ul li ik,meulliik,achE,melu,,-k-;ii,,,lange,1,,,,adjective,,,ADJ,me-ul-li-ik,𒈨 𒌌 𒇷 𒅅,False,0,False
45,me ši in,mes~iin,achE,meša,,-n;3sg.inan,,,"später, nachträghlich",1,,1.0,,adverb,,,ADJ,me-ši-in,𒈨 𒅆 𒅔,False,0,False
46,ri e ru um ma,rieruumma,mE,reru,,-ma;postp.loc,,,im Getreidefeld,0.5,,,,noun,,,ADJ,ri-e-ru-um-ma,𒊑 𒂊 𒊒 𒌝 𒈠,False,0,True
47,at tuk,attuk,achE,atu-,,-k-;ii,,,es wurde ausgeschachtet,1,,1.0,,verb,,,ADJ,at-tuk,𒀜 𒌇,False,0,False
48,at tuk qa,attukqa,achE,atu-,,-k-;ii,,,es war ausgeschachtet worden,1,,1.0,,verb,,,ADJ,at-tuk-qa,𒀜 𒌇 𒋡,False,0,False
49,az za qa,azzaqa,nE; achE,hazak,,,,,groß,1,,,,adjective,Sg.,1st,ADJ,az-za-qa,𒊍 𒍝 𒋡,False,0,False
50,h ba ak tar ri iš mar,baaktarriis~mar,,Baktriš,,-mar; postp.abl,-š;op.loan,,aus Baktrien,1,,1.0,,GN,Sg.,1st,ADJ,h.ba-ak-tar-ri-iš-mar,𒀸 𒁀 𒀝 𒋻 𒊑 𒅖 𒈥,False,0,False
51,h ba ak ti iš hu mar,baaktiis~humar,achE,Baktriš,,-mar; postp.abl,-š;op.loan,,aus Baktrien,1,,1.0,,GN,Sg.,1st,ADJ,h.ba-ak-ti-iš-hu-mar,𒀸 𒁀 𒀝 𒋾 𒅖 𒄷 𒈥,False,0,False
52,v ba ak tur ri iš,baakturriis~,achE,Baktriš,,-š;op.loan,,,Boktrien,1,,,,GN,Sg.,3rd Anim.,ADJ,v.ba-ak-tur-ri-iš,𒁹 𒁀 𒀝 𒌉 𒊑 𒅖,False,0,False
53,ba at mi na,baatmina,nE,pat,,-me;3sg.inan,-na;postp.gen,,unten,1,,,,adverb,,,ADJ,ba-at-mi-na,𒁀 𒀜 𒈪 𒈾,False,0,False
54,pa at mi na,baatmina,nE,pat,,-me;3sg.inan,-na;postp.gen,,,,,,,adverb,,,ADJ,pa-at-mi-na,𒉺 𒀜 𒈪 𒈾,False,0,False
55,ba gi maš,bagimas~,achE,bagima-,,,,,halbwüchsig,1,,,,adjective,Sg.,1st,ADJ,ba-gi-maš,𒁀 𒄀 𒈦,False,0,False
56,ba ha ar ra,bahaarra,mE,paha,,-r;3sg.an,,,"der gute, gütige",0.5,,0.5,,noun,,,ADJ,ba-ha-ar-ra,𒁀 𒄩 𒅈 𒊏,False,0,False
57,ba ha,baha,oE; mE; nE,paha,,,,,gut,0.5,,0.5,,noun,,,ADJ,ba-ha,𒁀 𒄩,False,0,False
58,d ba ha,baha,oE; mE; nE,paha,,,,,gut,0.5,,0.5,,noun,,,ADJ,d.ba-ha,𒀭 𒁀 𒄩,False,0,False
59,d ba ha ib be,bahaibbe,nE,paha,,-p;3pl.an,-na;postp.gen,-r;3sg.an,die guten (Götter),0.5,,0.5,,noun,,,ADJ,d.ba-ha-ib?-be,𒀭 𒁀 𒄩 𒅁 𒁁,False,0,False
60,ba ha pi,bahapi,mE,paha,,-p;3pl.an,,,die guten,0.5,,0.5,,noun,,,ADJ,ba-ha-pi,𒁀 𒄩 𒉿,False,0,False
61,ba li na,balina,achE,pali,,-na;postp.gen,,,männlich,1,male (Q6581097),1.0,,noun,,,ADJ,ba-li-na,𒁀 𒇷 𒈾,False,0,False
62,pa man qa na,bamanqana,,pamanka,,-na;postp.gen,,,"gefüttert (""lined"" of garments)",1,,,,noun,,,ADJ,pa-man-qa-na,𒉺 𒌋𒌋 𒋡 𒈾,False,0,False
63,hh ba pi ru iš,bapiruis~,achE,Bābiruš,,-š;op.loan,,,Babylonier,1,,,,GN,,,ADJ,hh.ba-pi-ru-iš,𒄬 𒁀 𒉿 𒊒 𒅖,False,0,False
64,pap pi na,bappina,nE,papi,,-na;postp.gen,,,von Schweinen,0.5,,,,noun,,,ADJ,pap-pi-na,𒉽 𒉿 𒈾,False,0,False
65,ba ri iš,bariis~,achE,bārya,,-š;op.loan,,,"edel, künstlerisch, superfein",1,,,,adjective,,,ADJ,ba-ri-iš,𒁀 𒊑 𒅖,False,0,False
66,ba ri ya,bariya,achE,bārya,,,,,"fein, edel",1,,,,adjective,,,ADJ,ba-ri-ya,𒁀 𒊑 𒉿,False,0,False
67,ba ri ya iš,bariyais~,achE,bārya,,-š;op.loan,,,"fein, edel",1,,,,adjective,,,ADJ,ba-ri-ya-iš,𒁀 𒊑 𒉿 𒅖,False,0,False
68,bar ru za na na um,barruzananaum,achE,paruzananam,,,,,von vielen Arten,1,,,,adjective,Pl.,3rd Anim.,ADJ,bar-ru-za-na-na-um,𒁇 𒊒 𒍝 𒈾 𒈾 𒌝,False,0,False
69,hw bar sìb ib be,barsibibbe,nE,Parsa,,-p;3pl.an,,,nach Perserart,1,,,,GN,Sg.,1st,ADJ,hw.bar-sìb-ib-be,𒁁 𒁇 𒍦 𒅁 𒁁,False,0,False
70,bar zí ma ak q a,barzimaakqa,nE,parsi-,,-ma-;aux,-k-;ii,,"ziseliert, geschmeidig gemacht",0.5,,,,verb,,,ADJ,bar-zí-ma-ak-[q]a,𒁇 𒍢 𒈠 𒀝 𒋡,False,0,False
71,ba su da,basuda,achE,pasuta,,,,,"Eigenschaft von jungen Burschen, vielleicht halbwüchsig.",0.5,,,,adjective,,,ADJ,ba-su-da (?),𒁀 𒋢 𒁕,False,0,False
72,bat ti ma nu ya,battimanuya,achE,pativahyah-,,,,,allerbest,1,,,,adjective,,,ADJ,bat-ti-ma-nu-ya,𒁁 𒋾 𒈠 𒉡 𒉿,False,0,False
75,ba zí qa,baziqa,achE,bāžika-,,,,,zur Viehsteuer gehörig,1,,,,adjective,,,ADJ,ba-zí-qa,𒁀 𒍢 𒋡,False,0,False
76,ba zí qa ra,baziqara,achE,bāžikara-,,,,,"Steuereinnehmer, Steuerbeamter",1,,,,noun,,,ADJ,ba-zí-qa-ra,𒁀 𒍢 𒋡 𒊏,False,0,False
77,ba zí qa ra iš,baziqarais~,achE,bāžikara-,,-š;op.loan,,,Steueramts-Arbeiter,1,,,,noun,,,ADJ,ba-zí-qa-ra-iš,𒁀 𒍢 𒋡 𒊏 𒅖,False,0,False
78,h be is si it me en ni,beissiitmeenni,nE,Besitme,,-ni;postp.gen,,,das von Bezitme,1,,1.0,,GN,,,ADJ,h.be-is-si-it-me-en-ni,𒀸 𒁁 𒄑 𒋛 𒀉 𒈨 𒂗 𒉌,False,0,False
81,pi ri um na,biriumna,nE,pirum,,-na;postp.gen,,,aus Elfenbein,1,,,,noun,,,ADJ,pi-ri-um-na,𒉿 𒊑 𒌝 𒈾,False,0,False
82,pír na šu,birnas~u,achE,pirnu,,-šu/su;unknown,,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-na-šu,𒂟 𒈾 𒋗,False,0,False
83,pír nu ba,birnuba,achE,pirnu,,-p;3pl.an,,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-nu-ba,𒂟 𒉡 𒁀,False,0,False
84,bìr mu na,birmuna,,birmu,,-na;postp.gen,,,buntfarben,0.5,,,,noun,,,ADJ,bìr-mu-na,𒂟 𒈬 𒈾,False,0,False
85,pír ra da mi iš,birradamiis~,achE,fratamya-,,-š;op.loan,,,von bester Qualitāt,1,,,,adjective,,,ADJ,pír-ra-da-mi-iš,𒂟 𒊏 𒁕 𒈪 𒅖,False,0,False
86,pír ru ku,birruku,achE,uku,,,,,,,,1.0,,postposition,,,ADJ,pír-ru-ku,𒂟 𒊒 𒆪,False,0,False
87,pír ru ku,birruku,achE,piru,,,,,"zusammen, gemeinsam",1,,,,noun,,,ADJ,pír-ru-ku,𒂟 𒊒 𒆪,False,0,False
88,pír ru,birru,achE,piru,,,,,zusammen,1,,,,noun,,,ADJ,pír-ru,𒂟 𒊒,False,0,False
89,pír nu ba ak,birnubaak,achE,pirnu,,-p;3pl.an,,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-nu-ba-ak,𒂟 𒉡 𒁀 𒀝,False,0,False
90,pír nu ba ik,birnubaik,achE,pirnu,,-p;3pl.an,,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-nu-ba-ik,𒂟 𒉡 𒁀 𒅅,False,0,False
91,pír nu ib ba,birnuibba,achE,pirnu,,-p;3pl.an,,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-nu-ib-ba,𒂟 𒉡 𒅁 𒁀,False,0,False
92,pír nu ip,birnuip,achE,pirnu,,-p;3pl.an,,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-nu-ip,𒂟 𒉡 𒅁,False,0,False
93,pír nu ip su,birnuipsu,achE,pirnu,,-p;3pl.an,-šu/su;unknown,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-nu-ip-su,𒂟 𒉡 𒅁 𒋢,False,0,False
94,pír nu ip šu,birnuips~u,achE,pirnu,,-p;3pl.an,-šu/su;unknown,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-nu-ip-šu,𒂟 𒉡 𒅁 𒋗,False,0,False
95,pír nu šu,birnus~u,achE,pirnu,,-šu/su;unknown,,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-nu-šu,𒂟 𒉡 𒋗,False,0,False
96,pír nu šu ut,birnus~uut,achE,pirnu,,-šu/su;unknown,-t;3sg.inan,,halb,1,half (Q2114394),,,noun,,,ADJ,pír-nu-šu-ut,𒂟 𒉡 𒋗 𒌓,False,0,False
97,pír ru uk ku,birruukku,achE,error?,,,,,,1,,,,noun,,,ADJ,pír-ru.uk-ku,𒂟 𒊒 𒊌 𒆪,False,0,False
98,pír ru uk ku,birruukku,achE,uku,,,,,,,,1.0,,postposition,,,ADJ,pír-ru-uk-ku,𒂟 𒊒 𒊌 𒆪,False,0,False
99,pír ru uk ku,birruukku,achE,piru,,,,,"zusammen, insgesamt",1,,,,noun,,,ADJ,pír-ru-uk-ku,𒂟 𒊒 𒊌 𒆪,False,0,False
108,pír uk ku,birukku,achE,uku,,,,,,,,1.0,,postposition,,,ADJ,pír.uk-ku,𒂟 𒊌 𒆪,False,0,False
109,pír uk ku,birukku,achE,piru,,-uku;postp.sup,,,"zusammen, insgesamt",1,,,,noun,,,ADJ,pír.uk-ku,𒂟 𒊌 𒆪,False,0,False
110,pi ši ir na,bis~iirna,nE,piši.r,,-r;3sg.an,-na;postp.gen,,pi-ši-ir bezeichnet ein Material für die Herstellung von Köchern. [...] Dies ergibt für pi-ši-ireine Deutung als Leder,0.5,,,,noun,,,ADJ,pi-ši-ir-na,𒉿 𒅆 𒅕 𒈾,False,0,False
111,pi ti na,bitina,nE,piti,,-na;postp.gen,,,für den Krug,0.5,,,,noun,,,ADJ,pi-ti-na,𒉿 𒋾 𒈾,False,0,False
112,pi tu4 ma,bituma,mE,pitu,,-ma;postp.loc,,,innen,1,inside location (Q30014638),1.0,,noun,,,ADJ,pi-tu4-ma,𒉿 𒌈 𒈠,False,0,True
113,pi tu4 um,bituum,mE,pitu,,-ma;postp.loc,,,innen,1,inside location (Q30014638),1.0,,noun,,,ADJ,pi-tu4-um,𒉿 𒌈 𒌝,False,0,False
114,pi tu4 um ma,bituumma,mE,pitu,,-ma;postp.loc,,,innen,1,inside location (Q30014638),1.0,,noun,,,ADJ,pi-tu4-um-ma,𒉿 𒌈 𒌝 𒈠,False,0,True
115,pi tu4 uk qa,bituukqa,nE,pitu-,,-k-;ii,,,"verloren, ein Verlorener",1,,,,verb,,,ADJ,pi-tu4-uk-qa,𒉿 𒌈 𒊌 𒋡,False,0,False
116,pu h ha,buhha,mE,puha,,,,,fertig,0.5,,,,noun,,,ADJ,pu-h-[ha?],𒁍 𒀸 𒄩,False,0,False
117,pu h un na,buhunna,achE,puhu,,-na;postp.gen,,,jung,1,,,,noun,,,ADJ,pu-h-un-na,𒁍 𒀸 𒌦 𒈾,False,0,False
118,pu hu lg na,buhuna,achE,puhu,,-na;postp.gen,,,jung,1,,,,noun,,,ADJ,pu-hu.lg.-na,𒁍 𒄷 𒎌 𒈾,False,0,False
120,pu hu na,buhuna,achE,puhu,,-na;postp.gen,,,jung,1,,,,noun,,,ADJ,pu-hu-na,𒁍 𒄷 𒈾,False,0,False
121,ni ma an,nimaan,achE,ni-,,-ma-;aux,-n-;iii,,"seiend, zugehörig",1,,,,verb,,,ADJ,ni-ma-an,𒉌 𒈠 𒀭,False,0,False
122,pu u na,buuna,achE,puhu,,-na;postp.gen,,,jung,1,,,,noun,,,ADJ,pu-u-na,𒁍 𒌋 𒈾,False,0,False
123,pu un na,buunna,achE,puhu,,-na;postp.gen,,,jung,1,,,,noun,,,ADJ,pu-un-na,𒁍 𒌦 𒈾,False,0,False
124,pu un ra,buunra,achE,puhu,,-n;3sg.inan,-r;3sg.an,,jung,1,,,,noun,,,ADJ,pu-un-ra,𒁍 𒌦 𒊏,False,0,False
125,pu ur na,buurna,nE,pur,,-na;postp.gen,,,"in der Rundung, im Halbrund",0.5,,0.5,,noun,,,ADJ,pu-ur-na,𒁍 𒌨 𒈾,False,0,False
126,na hu ti ir in na,nahutiirinna,nE,Nahutir,,-na;postp.gen,,,von Nahutir,1,,1.0,,noun,,,ADJ,na-hu-ti-ir-in-na,𒈾 𒄷 𒋾 𒅕 𒅔 𒈾,False,0,False
127,ni kut na,nikutna,achE,kuti,,-na;postp.gen,,,"ganz, zusammen",1,,,,adverb,,,ADJ,ni-kut-na,𒉌 𒋻 𒈾,False,0,False
128,da ban ti na,dabantina,nE,tapant,,-na;postp.gen,,,blau,1,blue (Q1088),,,noun,,,ADJ,da-ban-ti-na,𒁕 𒉼 𒋾 𒈾,False,0,False
129,ta in,dain,nE,tan,,,,,hellgrau,1,light grey (Q1088),,,noun,,,ADJ,ta-in,𒋫 𒅔,False,0,False
130,zí ti qa,zitiqa,achE,ziti-,,-k-;ii,,,getrocknet,1,,,,verb,Sg.,3rd Anim.,ADJ,zí-ti-qa,𒍢 𒋾 𒋡,False,0,False
131,tak ra,dakra,mE; nE,ta-,,-k-;ii,-r;3sg.an,,lebendig,1,,1.0,,verb,,,ADJ,tak-ra,𒋳 𒊏,False,0,False
132,ib ba ak,ibbaak,achE,ipa-,,-k-;ii,,,"stark, mächtig",1,,1.0,,verb,,,ADJ,ib-ba?-ak,𒅁 𒁀 𒀝,False,0,False
133,da ma,dama,nE; achE,ta-,,-ma;postp.loc,,,"wörtlich im Senden = entsandt,'abkommandiert' von [N], angestellt von",1,,1.0,,verb,,,ADJ,da-ma,𒁕 𒈠,False,0,False
134,da ma,dama,achE,ta-ma,,-ma;postp.loc,,,"entlang, Iängs",1,,,,postposition,,,ADJ,da-ma,𒁕 𒈠,False,0,False
135,da man na,damanna,achE,ta-,,-ma-;aux,-n-;iii,,"entsendend, abordnend, abkommandierend.",1,,1.0,,verb,,,ADJ,da-man-na,𒁕 𒌋𒌋 𒈾,False,0,False
136,da man nu,damannu,achE,ta-,,-ma-;aux,-n-;iii,,Ausnahmeschreibung für da-man-na,,,,,verb,,,ADJ,da-man-nu,𒁕 𒌋𒌋 𒉡,False,0,False
137,da me,dame,nE,tame,,,,,"vermutlich bedeutung verwandt mit da-mi erst, vorder",1,,,,adjective,,,ADJ,da-me,𒁕 𒈨,False,0,False
138,da mi,dami,nE; achE,tame,,,,,"erst, vorder",1,,,,adjective,,,ADJ,da-mi,𒁕 𒈪,False,0,False
139,da mi nu,daminu,achE,tame,,,-nu;unknown,,"ursprünglich wohl vorder, übertragen treu ergeben",1,,,,adjective,,,ADJ,da-mi-nu,𒁕 𒈪 𒉡,False,0,False
140,2 tan,dan,achE,tan,,,,,halb,1,half (Q2114394),,,adjective,,,ADJ,2.tan,𒈫 𒆗,False,0,False
141,da na,dana,achE,ta-na,,-na;postp.gen,,,nämlich,0.5,,,,unknown,,,ADJ,da-na,𒁕 𒈾,False,0,False
142,da ni na,danina,mE; nE,tani-,,-n-;iii,,,gehorcht habend,0.5,,0.5,,verb,Sg.,1st,ADJ,da-ni-na,𒁕 𒉌 𒈾,False,0,False
143,tan na an,dannaan,,tani-,,-n-;iii,,,gehorchend,1,,0.5,,verb,,,ADJ,tan-na-an,𒆗 𒈾 𒀭,False,0,False
144,GIŠ na u zí iš in na,nauziis~inna,achE,nauziš,,-š;op.loan,-na;postp.gen,,aus Pinienholz,1,,,,noun,,,ADJ,GIŠ.na-u-zí-iš-in-na,𒄑 𒈾 𒌋 𒍢 𒅖 𒅔 𒈾,False,0,False
145,te en ta ar,deentaar,mE,tenta,,-r;3sg.an,,,"segensvoll, huldvoll",0.5,,,,noun,,,ADJ,te-en-ta-ar,𒋼 𒂗 𒋫 𒅈,False,0,False
146,te en tar ri,deentarri,mE,tenta,,-r;3sg.an,,,"segensvoll, huldreich",0.5,,,,noun,,,ADJ,te-en-tar-ri,𒋼 𒂗 𒋻 𒊑,False,0,False
147,ha aš ti ik,haas~tiik,oE,haštu-,,-k-;ii,,,verehrt,1,,1.0,,verb,,,ADJ,ha-aš-ti-ik,𒄩 𒀸 𒋾 𒅅,False,0,False
151,ha la at im ma,halaatimma,mE,halat,,-ma;postp.loc,,,aus Lehmziegeln,1,,1.0,,noun,,,ADJ,ha-la-at-im-ma,𒄩 𒆷 𒀜 𒅎 𒈠,False,0,False
152,ha la at ni,halaatni,mE,halat,,-ni;postp.gen,,,aus Lehmziegeln,1,,1.0,,noun,,,ADJ,ha-la-at-ni,𒄩 𒆷 𒀜 𒉌,False,0,False
153,hu h pa ak,huhpaak,oE,huhpa-,,-k-;ii,,,"vorgegangen, vorangegangen",1,,,,verb,,,ADJ,hu-h-pa-ak,𒄷 𒀸 𒉺 𒀝,False,0,False
154,hu h qa ad du man na,huhqaaddumanna,nE,kat,,-ma;postp.loc,-na;postp.gen,,hölzern,1,,,,noun,,,ADJ,hu-h-qa-ad-du-[man-na],𒄷 𒀸 𒋡 𒀜 𒁺 𒌋𒌋 𒈾,False,0,False
155,hu h qat na man na,huhqatnamanna,nE,kat,,-ma;postp.loc,-na;postp.gen,,hölzern,1,,,,noun,Sg.,2nd,ADJ,hu-h-qat-na-man-na,𒄷 𒀸 𒋗 𒈾 𒌋𒌋 𒈾,False,0,False
156,d na pi na,napina,achE,nap,,-na;postp.gen,,, für die Götter,1,,,,noun,,,ADJ,d.na-pi-na,𒀭 𒈾 𒉿 𒈾,False,0,False
157,nap ir,napir,oE,nap,,-r;3sg.an,,,"Gott, Gottheit",1,,,,noun,Sg.,3rd Anim.,ADJ,nap-ir,𒀮 𒅕,False,0,False
158,ra ab ba ak,raabbaak,mE; nE,rapa-,,-k-;ii,,,gefesselt,1,,,,verb,,,ADJ,ra-ab-ba-ak,𒊏 𒀊 𒁀 𒀝,False,0,False
159,ra al,raal,mE,ral,,,,,ewig,0.5,eternity (Q138045),,,noun,,,ADJ,ra-al,𒊏 𒀠,False,0,False
160,nu ut tam5 ma,nuuttam5ma,achE,nitama,,,,,von geringster qualitat,1,,,,adjective,,,ADJ,nu-ut-tam5-ma,𒉡 𒌓 𒂟 𒈠,False,0,False
161,te iz za ma in da,deizzamainda,achE,taužahvanta,,,,,"jahzornig, unbeherrscht, wörtlich mit Scharfe versehen",1,,,,adjective,,,ADJ,te?-iz-za-ma-in-da,𒋼 𒄑 𒍝 𒈠 𒅔 𒁕,False,0,False
162,la si ti ya,lasitiya,mE,lansiti,,-ya;adj,,,"golden, vergoldet",1,,,,noun,,,ADJ,la-si-ti-ya,𒆷 𒋛 𒋾 𒉿,False,0,False
163,la tuk,latuk,nE,lati-,,-k-;ii,,,"scheu, reserviert",0.5,,,,verb,,,ADJ,la-tuk,𒆷 𒌇,False,0,False
164,tu4 ip pi qa,duippiqa,nE,tupi-,,-k-;ii,,,reichlich,1,,,,verb,Pl.,3rd Anim.,ADJ,tu4-ip-pi-qa,𒌈 𒅁 𒉿 𒋡,False,0,False
165,tuk na,dukna,nE,tuk,,-na;postp.gen,,,aus Wolle,0.5,,,,noun,Sg.,1st,ADJ,tuk-na,𒌇 𒈾,False,0,False
