,transliteration,sorting,period,base,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_hk_qid,certainty-weight_MEGA,sense_MEGA_qid,POS,number,person,category,transliteration original,unicode,roman,count,is_match
12285,muk dù dù,mukdudu,oE,,,,,,,,,,,PN,,,PN,muk-dù-dù,𒈮 𒆕 𒆕,False,0,False
12286,mur ti,murti,oE,,,,,,,,,,,PN,,,PN,mur-ti,𒄯 𒋾,False,0,False
12287,na a hi ri,naahiri,oE,,,,,,,,,,,PN,,,PN,na-a-hi-ri,𒈾 𒀀 𒄭 𒊑,False,0,False
12288,na a na,naana,oE,,,,,,,,,,,PN,,,PN,na-a-na,𒈾 𒀀 𒈾,False,0,False
12289,na a ni,naani,oE,,,,,,,,,,,PN,,,PN,na-a-ni,𒈾 𒀀 𒉌,False,0,False
12290,na a pu pu,naapupu,mE,,,,,,,,,,,PN,,,PN,na-a-pu-pu,𒈾 𒀀 𒁍 𒁍,False,0,False
12291,na an ni me na,naannimena,oB,,,,,,,,,,,PN,,,PN,na-an-ni.me-na,𒈾 𒀭 𒉌 𒈨 𒈾,False,0,False
12292,na an za ak,naanzaak,oE,,,,,,,,,,,PN,,,PN,na-an-za-ak,𒈾 𒀭 𒍝 𒀝,False,0,False
12293,na ap ri tim,naapritim,oE,,,,,,,,,,,PN,,,PN,na-ap-ri-tim,𒈾 𒀊 𒊑 𒁴,False,0,False
12294,na ap ti e,naaptie,oE,,,,,,,,,,,PN,,,PN,na-ap-ti-e?,𒈾 𒀊 𒋾 𒂊,False,0,False
