,txtid,lnr,cth_number,word,translit,gloss,trans_de
147593,KBo 56.149,r. Kol. 2′,670,nu,nu,CONNn,' nu
147594,KBo 56.176,1′,670,nu,nu,CONNn,' nu
147595,KBo 56.176,5′,670,nu,nu,CONNn,' nu
147596,KBo 52.139,lk. Kol. 6′,670,epzi,e-e]p-zi,3SG.PRS,fassen
147597,KBo 52.139,lk. Kol. 7′,670,nankan,[na-an-kán,CONNn=PPRO.3SG.C.ACC=OBPk,' n=an=kan
147598,KBo 52.140,2′,670,utanzi,ú-da-an-[zi,3PL.PRS,(her)bringen
147599,KBo 52.140,3′,670,1,1,QUANcar,ein
147600,KBo 52.140,6′,670,akuanzi,a-ku-wa-an]-⸢zi⸣,3PL.PRS,trinken
147601,KBo 52.146,3′,670,peššiazi,pé-eš-š[i-ia-zi,3SG.PRS,werfen
147602,KBo 52.146,4′,670,tanzi,d[a-an-zi,3PL.PRS,nehmen
147603,KBo 52.146,5′,670,pianzi,pí-an-zi,3PL.PRS,geben
147604,KBo 52.146,6′,670,iazi,i-i[a-zi,3SG.PRS,machen
147605,KBo 52.146,8′,670,šanḫanzi,š[a-an-ḫa-an-zi,3PL.PRS,suchen/reinigen
147606,KBo 52.151,Rs. III? 2,670,memai,me-m[a-i],3SG.PRS,sprechen
147607,KBo 52.151,Rs. III? 3,670,paluaizi,p[al-wa-a-ez-zi],3SG.PRS,anstimmen
147608,KBo 52.149,lk. Kol. 2′,670,KI.MIN,KI].MIN,ADV,dito
147609,KBo 52.149,r. Kol. 2′,670,KI.MIN,KI.[MIN,ADV,dito
147610,KBo 52.149,r. Kol. 3′,670,1-ŠU,1-~[ŠU~,QUANmul,einmal
147611,KBo 52.149,r. Kol. 4′,670,KI.MIN,KI.MIN,ADV,dito
147612,KBo 52.149,r. Kol. 5′,670,1-ŠU,1-~Š[U~,QUANmul,einmal
147613,KBo 52.149,r. Kol. 6′,670,KI.MIN,KI.⸢MIN⸣,ADV,dito
147614,KBo 56.156,4′,670,1,1,QUANcar,ein
147615,KBo 56.167,r. Kol. 2′,670,epzi,e-⸢ep⸣-z[i,3SG.PRS,fassen
147616,KBo 56.167,r. Kol. 7′,670,tanzi,da-an-zi,3PL.PRS,nehmen
147617,KBo 56.167,r. Kol. 8′,670,UŠ-KE-EN,~⸢UŠ-KE-EN~⸣,3SG.PRS,sich niederwerfen
147618,KBo 56.167,r. Kol. 8′,670,tiazi,ti-ia-z[i],3SG.PRS,treten
147619,KBo 56.167,r. Kol. 9′,670,akuanzi,⸢a⸣-ku-wa-a[n-zi],3PL.PRS,trinken
147620,KBo 65.207,Vs.? 5′,670,akuanzi,⸢a⸣-ku-wa-an-z[i],3PL.PRS,trinken
147621,KBo 65.139,r. Kol. 2′,670,1-ŠU,1-~ŠU~,QUANmul,einmal
